[bd94:0009][2026-05-10T01:00:52] Using cached package manifest as the embedded manifest
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/CommonExtensions/Platform/Debugger/msvsmon_x86.pkgdef
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\CommonExtensions\Platform\Debugger\msvsmon_x86.pkgdef file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/Appx/AppxDebug.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\Appx\AppxDebug.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/Appx/AppxDebugSysTray.exe
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\Appx\AppxDebugSysTray.exe file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/Appx/AppxDebugSysTray.exe.config
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\Appx\AppxDebugSysTray.exe.config file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/DebuggerProxy.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\DebuggerProxy.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/DebuggerProxy.dll.manifest
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\DebuggerProxy.dll.manifest file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/Microsoft.VisualStudio.Debugger.Interop.Internal.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\Microsoft.VisualStudio.Debugger.Interop.Internal.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/msvsmon.exe
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\msvsmon.exe file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/msvsmon.exe.config
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\msvsmon.exe.config file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/msvsmon.html
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\msvsmon.html file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/Microsoft.VisualStudio.Debugger.Interop.10.0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\Microsoft.VisualStudio.Debugger.Interop.10.0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/Microsoft.VisualStudio.Debugger.Interop.11.0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\Microsoft.VisualStudio.Debugger.Interop.11.0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/Microsoft.VisualStudio.Debugger.Interop.12.0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\Microsoft.VisualStudio.Debugger.Interop.12.0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/Microsoft.VisualStudio.Debugger.Interop.14.0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\Microsoft.VisualStudio.Debugger.Interop.14.0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/Microsoft.VisualStudio.Debugger.Interop.15.0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\Microsoft.VisualStudio.Debugger.Interop.15.0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/Microsoft.VisualStudio.Debugger.Interop.16.0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\Microsoft.VisualStudio.Debugger.Interop.16.0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/Microsoft.VisualStudio.Debugger.InteropA.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\Microsoft.VisualStudio.Debugger.InteropA.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/Microsoft.VisualStudio.Interop.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\Microsoft.VisualStudio.Interop.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/Microsoft.VisualStudio.OLE.Interop.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\Microsoft.VisualStudio.OLE.Interop.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/symbollocator.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\symbollocator.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/PfxTaskProvider.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\PfxTaskProvider.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/Microsoft.DiaSymReader.PortablePdb.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\Microsoft.DiaSymReader.PortablePdb.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/Microsoft.DiaSymReader.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\Microsoft.DiaSymReader.dll file deleted.
